,id,Brand,Type,CPUbrand,SSD,GPUbrand,RAM,OS,Touchscreen,Weight,Price,PPI
844,8,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,47200,157.3505121487356
845,9,ASUS,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,81990,127.33567457123111
847,11,HP,Notebook,Intel,256 GB,Intel,8,Windows,Yes,Light,136590,165.6321180513006
848,12,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,Yes,Light,59999,157.3505121487356
849,13,ACER,Notebook,Intel,256 GB,Intel,4,Windows,No,Light,27490,111.93520355955211
850,14,ACER,Ultraportable,Intel,512 GB,NVIDIA,4,Windows,No,Medium,60900,141.21199808219862
851,15,ASUS,Notebook,AMD,512 GB,AMD,8,Windows,No,Medium,59970,242.5880862528841
852,16,HP,Gaming,Intel,1 TB,NVIDIA,16,Windows,No,Medium,122000,136.82653230324834
853,17,DELL,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,74990,157.3505121487356
854,18,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Heavy,73990,232.22107401985488
855,19,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Light,53500,157.3505121487356
856,20,HP,Notebook,Intel,None,Intel,4,Linux/Others,No,Heavy,31041,100.45466986113651
857,21,DELL,Notebook,Intel,None,AMD,8,Windows,Yes,Heavy,68990,100.45466986113651
858,22,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,42262,156.23455106966654
859,23,ASUS,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,79990,165.6321180513006
860,1,DELL,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Light,44500,157.3505121487356
861,2,LENOVO,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,38999,157.3505121487356
862,3,ASUS,Ultraportable,Intel,None,Intel,4,Windows,No,Light,24990,135.0942111925629
863,4,HP,Ultraportable,Intel,512 GB,NVIDIA,16,Windows,No,Medium,91999,314.7010242974712
864,5,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,56000,141.21199808219862
865,6,LENOVO,Ultraportable,AMD,512 GB,AMD,16,Windows,No,Light,78890,188.67962264113206
866,7,ACER,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,69351,157.3505121487356
867,8,DELL,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,46890,141.21199808219862
868,9,DELL,Notebook,Intel,512 GB,NVIDIA,16,Windows,No,Medium,79900,141.21199808219862
869,10,LENOVO,Notebook,AMD,512 GB,AMD,4,Linux/Others,No,Medium,28499,141.21199808219862
870,11,DELL,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Medium,63500,141.21199808219862
871,12,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,56000,141.21199808219862
872,13,LENOVO,Notebook,AMD,512 GB,AMD,8,Windows,No,Medium,47999,141.21199808219862
873,14,DELL,Notebook,Intel,512 GB,Intel,16,Windows,Yes,Light,82000,157.3505121487356
874,15,LENOVO,Notebook,Intel,None,AMD,8,Windows,No,Heavy,52490,100.45466986113651
875,16,LENOVO,Notebook,Intel,256 GB,Intel,4,Windows,No,Heavy,37890,141.21199808219862
876,17,HP,Gaming,AMD,256 GB,NVIDIA,8,Windows,No,Heavy,65000,141.21199808219862
877,18,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,40100,141.21199808219862
878,19,LENOVO,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,39400,141.21199808219862
879,20,ASUS,Gaming,Intel,512 GB,NVIDIA,16,Windows,No,Heavy,85990,141.21199808219862
880,21,MSI,Gaming,Intel,None,NVIDIA,8,Windows,No,Medium,62190,141.21199808219862
881,22,HP,Ultraportable,Intel,512 GB,Intel,16,Windows,Yes,Light,84555,157.3505121487356
882,23,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,52000,141.21199808219862
883,1,DELL,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,57490,141.21199808219862
884,2,HP,Ultraportable,Intel,512 GB,Intel,16,Windows,Yes,Light,84555,157.3505121487356
885,3,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,52000,141.21199808219862
886,4,HP,Ultraportable,Intel,512 GB,Intel,16,Windows,Yes,Light,82999,157.3505121487356
887,5,ASUS,Notebook,Intel,512 GB,Intel,16,Windows,Yes,Light,130000,242.5880862528841
888,6,LENOVO,Notebook,Intel,512 GB,Intel,8,Windows,No,Light,40200,141.21199808219862
889,7,HP,Notebook,Intel,256 GB,Intel,8,Windows,Yes,Light,52999,157.3505121487356
890,8,DELL,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,78990,157.3505121487356
891,9,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,56000,141.21199808219862
893,11,ACER,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,68999,200.84255993695703
894,12,LENOVO,Notebook,AMD,512 GB,AMD,8,Windows,No,Light,49500,141.21199808219862
895,13,LENOVO,Notebook,Intel,256 GB,Intel,4,Windows,Yes,Light,63899,157.3505121487356
896,14,LENOVO,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,54990,141.21199808219862
897,15,DELL,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,40500,147.25315308036753
898,16,LENOVO,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Medium,116999,146.86047800548656
899,17,LENOVO,Gaming,AMD,512 GB,NVIDIA,16,Windows,No,Medium,82999,141.21199808219862
900,18,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,35990,156.23455106966654
901,19,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Light,54000,157.3505121487356
902,20,DELL,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,63500,141.21199808219862
904,22,HP,Notebook,Intel,1 TB,NVIDIA,16,Windows,No,Heavy,179999,182.43537640433112
905,23,DELL,Notebook,AMD,256 GB,AMD,8,Windows,No,Heavy,34990,100.45466986113651
906,1,ASUS,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,45590,141.21199808219862
907,2,ASUS,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Medium,31700,157.3505121487356
908,3,HP,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Light,58500,157.9734542412046
909,4,LENOVO,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Light,28599,155.78090461246302
910,5,ASUS,Notebook,AMD,512 GB,NVIDIA,16,Windows,No,Light,97107,141.21199808219862
911,6,HP,Notebook,Intel,256 GB,Intel,8,Linux/Others,No,Light,69999,157.3505121487356
912,7,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,47250,157.3505121487356
913,8,LENOVO,Ultraportable,Intel,512 GB,Intel,16,Windows,Yes,Light,92990,157.3505121487356
